what,kind,bundleId,bundleVersion,description,time
started,bundle,com.ibm.team.repository.rcp.ui,2.0.1.I200909031824,"com.ibm.team.repository.rcp.ui",1305048018661
started,bundle,com.ibm.team.scm.common,2.0.2.I201011251446,"com.ibm.team.scm.common",1305048018662
started,bundle,com.ibm.team.workitem.client,2.1.0.I200912011601,"com.ibm.team.workitem.client",1305048018663
started,bundle,com.ibm.team.workitem.common,2.2.0.I201101241722,"com.ibm.team.workitem.common",1305048018665
started,bundle,com.ibm.team.workitem.rcp.core,2.0.2.I201011170940,"com.ibm.team.workitem.rcp.core",1305048018666
started,bundle,com.ibm.team.workitem.rcp.ui,2.1.0.I201101251849,"com.ibm.team.workitem.rcp.ui",1305048018668
os,sysinfo,,,"win32",1305048018671
arch,sysinfo,,,"x86",1305048018671
ws,sysinfo,,,"win32",1305048018671
locale,sysinfo,,,"es_VE",1305048018671
processors,sysinfo,,,"2",1305048018671
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1305048018671
java.runtime.version,sysinfo,,,"1.6.0_12-b04",1305048018671
java.specification.name,sysinfo,,,"Java Platform API Specification",1305048018671
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305048018671
java.specification.version,sysinfo,,,"1.6",1305048018671
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1305048018671
